Genus,Species,Call,Call_type,Age,Sex,Hierarchy,Context,Environment,Facial_expression,Description,References
Pan,paniscus,High hooting,Close call,All,Both,Both,Nesting,Wild,Mouth opened with slightly pouted lips covering the teeth,Rhythmic series of barks of similar shape and structure. Occasionally start with 1-3 whistles.,"DeWaal1988, Hohmann1994, Schamberg2017, Keenan2020"
Pan,paniscus,Composed bark,Close call,All,Both,Both,Alarm,Wild,NA,Composed by two parts never recorded on its own. The first part is similar to a pout moan but with lower frequency. The second part is like a bark with one peak which usually starts with noise.,Bermejo_Omedes1999
Pan,paniscus,Composed bark,Close call,All,Both,Both,Feeding,Wild,NA,Composed by two parts never recorded on its own. The first part is similar to a pout moan but with lower frequency. The second part is like a bark with one peak which usually starts with noise.,Bermejo_Omedes1999
Pan,paniscus,Composed bark,Close call,All,Both,Both,Affiliative,Wild,NA,Composed by two parts never recorded on its own. The first part is similar to a pout moan but with lower frequency. The second part is like a bark with one peak which usually starts with noise.,Bermejo_Omedes1999
Pan,paniscus,Croak,Close call,Immature,Both,Both,Play,Wild,NA,Short and low call that can be variable in shape. Structured in harmonics and mixed with noise.,Bermejo_Omedes1999
Pan,paniscus,Grunt,Close call,All,Both,Both,Affiliative,Wild,No play face involved,Short breathy vocal unit uttered in a rhythm of one or two grunts per second,"DeWaal1988, Bermejo_Omedes1999, Clay_Zuberbuhler2009"
Pan,paniscus,Hiccup,Close call,All,Both,Both,Play,Wild,NA,Very short call with a rapid increase of frequency,Bermejo_Omedes1999
Pan,paniscus,Hiccup,Close call,All,Both,Both,Feeding,Wild,NA,Very short call with a rapid increase of frequency,Bermejo_Omedes1999
Pan,paniscus,Hiccup,Close call,All,Both,Both,Grooming,Wild,NA,Very short call with a rapid increase of frequency,Bermejo_Omedes1999
Pan,paniscus,Low hooting,Close call,All,Both,Both,Alarm,Wild,Silent teeth-baring with pouted lips,Rhythmic series of barks in which both inspirations and expirations are vocalized.,"DeWaal1988, Bermejo_Omedes1999"
Pan,paniscus,Muffled bark,Close call,Immature,Both,Both,Play,Wild,NA,Short call of medium intensity with a shape that resemble a bark. Final frequency much higher than initial one.,Bermejo_Omedes1999
Pan,paniscus,Panting laugh,Close call,All,Female,Subordinate,Play,Wild,Play face,Vocalized jerky breathing which sounds like coarse low-pitched grunting. They are made with short white noise vocal units,"DeWaal1988, Bermejo_Omedes1999"
Pan,paniscus,Peep,Close call,All,Both,Both,Alarm,Wild,No facial expression,Shortest sound uttered by bonobos. Sequences uttered in a non-rhythmic way,"DeWaal1988, Bermejo_Omedes1999, Clay_Archbold_Zuberbuhler2015"
Pan,paniscus,Peep,Close call,All,Both,Both,Play,Wild,No facial expression,Shortest sound uttered by bonobos. Sequences uttered in a non-rhythmic way,"DeWaal1988, Bermejo_Omedes1999, Clay_Archbold_Zuberbuhler2015"
Pan,paniscus,Peep,Close call,All,Both,Both,Feeding,Wild,No facial expression,Shortest sound uttered by bonobos. Sequences uttered in a non-rhythmic way,"DeWaal1988, VanKrunkelsven1996, Bermejo_Omedes1999, Clay_Zuberbuhler2009"
Pan,paniscus,Peep,Close call,All,Both,Both,Agonistic,Wild,No facial expression,Shortest sound uttered by bonobos. Sequences uttered in a non-rhythmic way,"DeWaal1988, Bermejo_Omedes1999, Clay_Archbold_Zuberbuhler2015"
Pan,paniscus,Peep,Close call,All,Both,Both,Grooming,Wild,No facial expression,Shortest sound uttered by bonobos. Sequences uttered in a non-rhythmic way,"DeWaal1988, Bermejo_Omedes1999, Clay_Archbold_Zuberbuhler2015"
Pan,paniscus,Peep-yelp,Close call,All,Both,Both,Agonistic,Wild,Teeth-baring with closed mouth,Pure tonal unmodulated sound with no or few harmonics. Longer in duration than other peep sounds,"DeWaal1988, Bermejo_Omedes1999, Clay_Zuberbuhler2009"
Pan,paniscus,Pout moan,Close call,All,Both,Both,Alarm,Wild,Pout face,Soft and short vocalization that sound like a whining ‘hoo-hoo’. Resemble a peep-yelp but with 2 harmonics.,"DeWaal1988, Bermejo_Omedes1999, Genty2019"
Pan,paniscus,Pout moan,Close call,All,Both,Both,Play,Wild,Pout face,Soft and short vocalization that sound like a whining ‘hoo-hoo’. Resemble a peep-yelp but with 2 harmonics.,"DeWaal1988, Bermejo_Omedes1999, Genty2019"
Pan,paniscus,Pout moan,Close call,All,Both,Both,Affiliative,Wild,Pout face,Soft and short vocalization that sound like a whining ‘hoo-hoo’. Resemble a peep-yelp but with 2 harmonics.,"DeWaal1988, Bermejo_Omedes1999, Genty2019"
Pan,paniscus,Rasp scream,Close call,All,Both,Subordinate,Agonistic,Wild,NA,Modulated scream which sounds hoarser and more rasping than the other scream types.,"DeWaal1988, Bermejo_Omedes1999"
Pan,paniscus,Rasp scream,Close call,All,Female,Both,Copulation,Wild,NA,Modulated scream which sounds hoarser and more rasping than the other scream types.,"DeWaal1988, Clay_Zuberbuhler2011a"
Pan,paniscus,Whistle,Close call,All,Both,Both,Play,Wild,NA,Call composed by series of whistles with variables shapes. Commonly the series have 1-3 units.,"DeWaal1988, Bermejo_Omedes1999"
Pan,paniscus,Whistle,Close call,All,Both,Both,Feeding,Wild,NA,Call composed by series of whistles with variables shapes. Commonly the series have 1-3 units.,"DeWaal1988, Bermejo_Omedes1999"
Pan,paniscus,Whistle,Close call,All,Both,Both,Grooming,Wild,NA,Call composed by series of whistles with variables shapes. Commonly the series have 1-3 units.,"DeWaal1988, Bermejo_Omedes1999"
Pan,paniscus,Yelp,Close call,All,Both,Both,Feeding,Wild,NA,Vocalization with a rapidly decreasing frequency composed by 2-3 units,"DeWaal1988, Bermejo_Omedes1999, Clay_Zuberbuhler2009"
